"","X.2","Rk","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","WinorLoss","Year"
"1",1,1,"1","Wednesday Apr 11 (1)","boxscore","ATL","","SFG","L",0,8,NA,"0-1",3,"1.5","Reuschel","Glavine","","2:26","N",0,"-","L",1990
"2",2,2,"2","Wednesday Apr 11 (2)","boxscore","ATL","","SFG","W",4,3,NA,"1-1",3,"1.5","Smith","Swan","Stanton","2:50","N",11082,"+","W",1990
"3",3,3,"3","Thursday Apr 12","boxscore","ATL","","SFG","L",4,13,NA,"1-2",5,"2","LaCoss","Smoltz","Brantley","3:12","D",6425,"-","L",1990
"4",4,4,"4","Friday Apr 13","boxscore","ATL","","CIN","L",2,5,NA,"1-3",5,"3","Browning","Lilliquist","Myers","2:27","N",12364,"--","L",1990
"5",5,5,"5","Sunday Apr 15","boxscore","ATL","","CIN","L",6,13,NA,"1-4",5,"4","Birtsas","Glavine","","3:08","D",10067,"---","L",1990
"6",6,6,"6","Monday Apr 16","boxscore","ATL","","CIN","L",3,5,NA,"1-5",5,"5","Armstrong","Smith","Dibble","2:51","N",6484,"----","L",1990
"7",7,7,"7","Tuesday Apr 17","boxscore","ATL","@","HOU","L",3,5,NA,"1-6",6,"6","Portugal","Smoltz","Smith","2:44","N",9555,"-----","L",1990
"8",8,8,"8","Wednesday Apr 18","boxscore","ATL","@","HOU","L",5,10,NA,"1-7",6,"7","Schatzeder","Lilliquist","","2:41","N",10137,"------","L",1990
"9",9,9,"9","Saturday Apr 21","boxscore","ATL","@","CIN","L",1,8,NA,"1-8",6,"8","Armstrong","Clary","","2:50","D",24091,"-------","L",1990
"10",10,10,"10","Sunday Apr 22","boxscore","ATL","@","CIN","W",3,1,NA,"2-8",6,"7","Glavine","Browning","Stanton","2:18","D",29299,"+","W",1990
"11",11,11,"11","Tuesday Apr 24","boxscore","ATL","@","NYM","L-wo",1,2,NA,"2-9",6,"7","Machado","Stanton","","2:32","N",22553,"-","L",1990
"12",12,12,"12","Wednesday Apr 25","boxscore","ATL","@","NYM","L",5,8,NA,"2-10",6,"8","Darling","Stanton","Franco","3:01","N",19935,"--","L",1990
"13",13,13,"13","Thursday Apr 26","boxscore","ATL","","HOU","L",0,3,NA,"2-11",6,"8.5","Clancy","Lilliquist","Smith","2:17","N",3415,"---","L",1990
"14",14,14,"14","Friday Apr 27","boxscore","ATL","","PHI","L",1,7,NA,"2-12",6,"9.5","Cook","Stanton","","2:42","N",12598,"----","L",1990
"15",15,15,"15","Saturday Apr 28","boxscore","ATL","","PHI","L",1,2,NA,"2-13",6,"10.5","Parrett","Boever","McDowell","2:23","N",12659,"-----","L",1990
"16",16,16,"16","Sunday Apr 29","boxscore","ATL","","PHI","W",3,1,NA,"3-13",6,"9.5","Smith","Combs","","2:16","D",11966,"+","W",1990
"17",17,17,"17","Monday Apr 30","boxscore","ATL","","NYM","W",7,4,NA,"4-13",6,"9.5","Smoltz","Cone","Boever","2:20","N",8232,"++","W",1990
"18",18,18,"18","Tuesday May 1","boxscore","ATL","","NYM","W",5,2,NA,"5-13",6,"8.5","Lilliquist","Darling","Kerfeld","2:28","N",8324,"+++","W",1990
"19",19,19,"19","Wednesday May 2","boxscore","ATL","@","MON","W",8,1,NA,"6-13",6,"7.5","Clary","Smith","","2:44","N",9575,"++++","W",1990
"20",20,20,"20","Thursday May 3","boxscore","ATL","@","MON","W",4,1,NA,"7-13",5,"7.5","Kerfeld","Hall","Boever","3:02","N",9057,"+++++","W",1990
"21",21,21,"21","Sunday May 6 (1)","boxscore","ATL","@","PIT","L",4,6,NA,"7-14",6,"10","Heaton","Smoltz","Ruskin","2:35","D",0,"-","L",1990
"22",22,22,"22","Sunday May 6 (2)","boxscore","ATL","@","PIT","L",2,4,NA,"7-15",6,"10","Drabek","Lilliquist","Patterson","2:35","D",17108,"--","L",1990
"23",23,23,"23","Monday May 7","boxscore","ATL","@","CHC","W",9,8,NA,"8-15",5,"10","Kerfeld","Williams","Boever","3:19","N",32266,"+","W",1990
"24",24,24,"24","Tuesday May 8","boxscore","ATL","@","CHC","L-wo",8,10,11,"8-16",5,"10.5","Long","Henry","","3:50","D",18503,"-","L",1990
"25",25,25,"25","Wednesday May 9","boxscore","ATL","@","CHC","L",0,4,5,"8-17",6,"10.5","Lancaster","Smith","","1:14","D",14266,"--","L",1990
"26",26,26,"26","Friday May 11","boxscore","ATL","@","STL","L",2,5,NA,"8-18",6,"12","Smith","Smoltz","Smith","2:23","N",41408,"---","L",1990
"27",27,27,"27","Saturday May 12","boxscore","ATL","@","STL","L-wo",3,4,10,"8-19",6,"12","Smith","Boever","","2:56","N",30068,"----","L",1990
"28",28,28,"28","Sunday May 13","boxscore","ATL","@","STL","W",3,1,NA,"9-19",6,"12","Castillo","Terry","Boever","3:07","D",29022,"+","W",1990
"29",29,29,"29","Monday May 14","boxscore","ATL","","CHC","W",3,2,NA,"10-19",6,"12","Henry","Williams","Kerfeld","2:44","N",16417,"++","W",1990
"30",30,30,"30","Tuesday May 15","boxscore","ATL","","CHC","L",2,12,NA,"10-20",6,"13","Pico","Smith","","2:48","N",16271,"-","L",1990
"31",31,31,"31","Wednesday May 16","boxscore","ATL","","CHC","W",4,0,NA,"11-20",5,"12.5","Smoltz","Maddux","","2:25","N",13345,"+","W",1990
"32",32,32,"32","Thursday May 17","boxscore","ATL","","PIT","W",6,1,NA,"12-20",5,"11.5","Lilliquist","Heaton","Hesketh","2:39","N",6340,"++","W",1990
"33",33,33,"33","Friday May 18","boxscore","ATL","","PIT","L",3,9,NA,"12-21",5,"12.5","Walk","Clary","","3:09","N",19001,"-","L",1990
"34",34,34,"34","Saturday May 19","boxscore","ATL","","PIT","W",2,1,NA,"13-21",5,"12.5","Glavine","Terrell","Hesketh","2:28","N",26170,"+","W",1990
"35",35,35,"35","Sunday May 20","boxscore","ATL","","PIT","W",13,11,NA,"14-21",4,"11.5","Smith","Kipper","Boever","3:05","N",8288,"++","W",1990
"36",36,36,"36","Monday May 21","boxscore","ATL","","STL","W-wo",6,5,NA,"15-21",4,"11.5","Boever","Terry","","3:05","N",6237,"+++","W",1990
"37",37,37,"37","Tuesday May 22","boxscore","ATL","","STL","L",3,4,NA,"15-22",4,"11.5","DeLeon","Lilliquist","Smith","2:43","N",11313,"-","L",1990
"38",38,38,"38","Thursday May 24","boxscore","ATL","@","PHI","L",4,8,NA,"15-23",4,"12.5","Ruffin","Clary","Freeman","3:03","N",21160,"--","L",1990
"39",39,39,"39","Friday May 25","boxscore","ATL","@","PHI","L",4,5,NA,"15-24",5,"13.5","Parrett","Hesketh","McDowell","3:04","N",22162,"---","L",1990
"40",40,40,"40","Saturday May 26","boxscore","ATL","@","PHI","W",12,3,NA,"16-24",4,"13.5","Smith","Combs","","2:55","N",56789,"+","W",1990
"41",41,41,"41","Sunday May 27","boxscore","ATL","@","PHI","W",6,1,NA,"17-24",4,"12.5","Smoltz","Mulholland","","2:37","D",27139,"++","W",1990
"42",42,42,"42","Monday May 28","boxscore","ATL","","MON","L",1,4,NA,"17-25",4,"13","Gross","Lilliquist","","2:42","D",25152,"-","L",1990
"43",43,43,"43","Wednesday May 30","boxscore","ATL","","MON","L",6,9,NA,"17-26",5,"14","Schmidt","Glavine","Hall","3:24","N",10372,"--","L",1990
"44",44,44,"44","Thursday May 31","boxscore","ATL","@","SDP","L",1,2,NA,"17-27",5,"14","Rasmussen","Smith","Harris","2:17","N",13644,"---","L",1990
"45",45,45,"45","Friday Jun 1","boxscore","ATL","@","SDP","W",16,11,NA,"18-27",5,"14","Castillo","Dunne","","3:24","N",22291,"+","W",1990
"46",46,46,"46","Saturday Jun 2","boxscore","ATL","@","SDP","L",0,9,NA,"18-28",6,"15","Whitson","Lilliquist","","2:31","N",53701,"-","L",1990
"47",47,47,"47","Sunday Jun 3","boxscore","ATL","@","SDP","W",4,2,10,"19-28",5,"15","Kerfeld","Harris","Boever","2:44","D",17151,"+","W",1990
"48",48,48,"48","Monday Jun 4","boxscore","ATL","@","LAD","L",0,6,NA,"19-29",5,"15","Martinez","Glavine","","2:46","N",22098,"-","L",1990
"49",49,49,"49","Tuesday Jun 5","boxscore","ATL","@","LAD","W",6,4,NA,"20-29",5,"14","Smith","Morgan","","2:45","N",29878,"+","W",1990
"50",50,50,"50","Wednesday Jun 6","boxscore","ATL","@","LAD","L",5,7,NA,"20-30",5,"14","Howell","Kerfeld","","3:06","N",25274,"-","L",1990
"51",52,51,"51","Friday Jun 8","boxscore","ATL","","SFG","L",8,23,NA,"20-31",5,"14.5","Wilson","Lilliquist","Thurmond","3:42","N",32154,"--","L",1990
"52",53,52,"52","Saturday Jun 9","boxscore","ATL","","SFG","W",5,3,NA,"21-31",5,"13.5","Leibrandt","Hammaker","","2:46","N",31048,"+","W",1990
"53",54,53,"53","Sunday Jun 10","boxscore","ATL","","SFG","L",3,9,NA,"21-32",5,"13.5","Burkett","Smith","","2:56","D",17448,"-","L",1990
"54",55,54,"54","Monday Jun 11","boxscore","ATL","","SFG","L",3,8,NA,"21-33",6,"14","Garrelts","Smoltz","","2:45","N",11528,"--","L",1990
"55",56,55,"55","Tuesday Jun 12 (1)","boxscore","ATL","@","CIN","W",8,3,NA,"22-33",6,"12","Glavine","Jackson","","2:45","N",0,"+","W",1990
"56",57,56,"56","Tuesday Jun 12 (2)","boxscore","ATL","@","CIN","W",3,2,NA,"23-33",6,"12","Greene","Rijo","Luecken","2:31","N",31918,"++","W",1990
"57",58,57,"57","Wednesday Jun 13","boxscore","ATL","@","CIN","L",4,13,NA,"23-34",6,"13","Browning","Avery","","2:44","N",23567,"-","L",1990
"58",59,58,"58","Thursday Jun 14","boxscore","ATL","@","CIN","L-wo",3,4,NA,"23-35",6,"14","Dibble","Boever","","2:48","N",19847,"--","L",1990
"59",60,59,"59","Friday Jun 15","boxscore","ATL","@","SFG","L",2,8,NA,"23-36",6,"15","Burkett","Smith","","2:47","N",18882,"---","L",1990
"60",61,60,"60","Saturday Jun 16","boxscore","ATL","@","SFG","L",0,7,NA,"23-37",6,"16","Garrelts","Smoltz","","2:28","D",27597,"----","L",1990
"61",62,61,"61","Sunday Jun 17","boxscore","ATL","@","SFG","L",7,9,NA,"23-38",6,"17","Bedrosian","Castillo","","3:22","D",43080,"-----","L",1990
"62",63,62,"62","Tuesday Jun 19 (1)","boxscore","ATL","","CIN","L",2,4,NA,"23-39",6,"17","Charlton","Luecken","Myers","2:58","N",0,"------","L",1990
"63",64,63,"63","Tuesday Jun 19 (2)","boxscore","ATL","","CIN","W",3,0,NA,"24-39",6,"17","Leibrandt","Mahler","","2:10","N",16205,"+","W",1990
"64",65,64,"64","Wednesday Jun 20","boxscore","ATL","","CIN","L",8,9,10,"24-40",6,"18","Myers","Luecken","","3:36","N",12200,"-","L",1990
"65",66,65,"65","Thursday Jun 21","boxscore","ATL","","CIN","W-wo",4,3,NA,"25-40",6,"17","Smoltz","Dibble","","2:47","N",11204,"+","W",1990
"66",67,66,"66","Saturday Jun 23","boxscore","ATL","","SDP","L",5,7,NA,"25-41",6,"17.5","Whitson","Glavine","Lefferts","2:53","N",23724,"-","L",1990
"67",68,67,"67","Sunday Jun 24","boxscore","ATL","","SDP","W-wo",11,10,12,"26-41",6,"17.5","Luecken","Lefferts","","4:15","D",16298,"+","W",1990
"68",69,68,"68","Monday Jun 25","boxscore","ATL","","LAD","L",2,5,NA,"26-42",6,"18.5","Martinez","Leibrandt","","2:33","N",15738,"-","L",1990
"69",70,69,"69","Tuesday Jun 26","boxscore","ATL","","LAD","W",4,2,NA,"27-42",6,"18.5","Avery","Morgan","Hesketh","2:30","N",12257,"+","W",1990
"70",71,70,"70","Wednesday Jun 27","boxscore","ATL","","LAD","W",4,0,NA,"28-42",6,"17.5","Smoltz","Belcher","","2:25","N",11569,"++","W",1990
"71",72,71,"71","Friday Jun 29","boxscore","ATL","@","MON","W",4,2,NA,"29-42",6,"16","Glavine","Martinez","Hesketh","2:52","N",14210,"+++","W",1990
"72",73,72,"72","Saturday Jun 30","boxscore","ATL","@","MON","W",7,6,NA,"30-42",6,"16","Leibrandt","Gardner","Hesketh","3:12","N",16514,"++++","W",1990
"73",74,73,"73","Sunday Jul 1","boxscore","ATL","@","MON","L",1,5,NA,"30-43",6,"16","Boyd","Avery","","2:30","D",27763,"-","L",1990
"74",75,74,"74","Monday Jul 2","boxscore","ATL","@","MON","W",6,3,NA,"31-43",5,"15.5","Smoltz","Farmer","Boever","2:31","N",14425,"+","W",1990
"75",76,75,"75","Tuesday Jul 3","boxscore","ATL","@","PHI","L",1,5,NA,"31-44",5,"16.5","Parrett","Clary","Cook","2:34","N",55147,"-","L",1990
"76",77,76,"76","Wednesday Jul 4","boxscore","ATL","@","PHI","W",4,1,NA,"32-44",5,"15.5","Glavine","Combs","Boever","3:10","N",18286,"+","W",1990
"77",78,77,"77","Thursday Jul 5","boxscore","ATL","","NYM","L",8,9,NA,"32-45",5,"16.5","Whitehurst","Hesketh","Franco","3:04","N",34312,"-","L",1990
"78",79,78,"78","Friday Jul 6","boxscore","ATL","","NYM","L",7,10,NA,"32-46",5,"17.5","Cone","Avery","","3:13","N",26513,"--","L",1990
"79",80,79,"79","Saturday Jul 7","boxscore","ATL","","NYM","W",4,3,NA,"33-46",5,"17.5","Mercker","Innis","","2:35","N",38267,"+","W",1990
"80",81,80,"80","Sunday Jul 8","boxscore","ATL","","NYM","L",1,2,NA,"33-47",5,"17.5","Viola","Clary","Franco","2:47","D",15866,"-","L",1990
"81",82,81,"81","Thursday Jul 12","boxscore","ATL","","MON","L",0,3,NA,"33-48",5,"18","Gardner","Glavine","","2:18","N",7654,"--","L",1990
"82",83,82,"82","Saturday Jul 14 (1)","boxscore","ATL","","MON","W",3,2,NA,"34-48",5,"18","Mercker","Schmidt","","2:38","N",0,"+","W",1990
"83",84,83,"83","Saturday Jul 14 (2)","boxscore","ATL","","MON","L",2,6,NA,"34-49",5,"18","Boyd","Leibrandt","Mohorcic","3:01","N",20452,"-","L",1990
"84",85,84,"84","Sunday Jul 15","boxscore","ATL","","MON","L",14,16,NA,"34-50",5,"19","Frey","Mercker","Schmidt","3:26","D",11237,"--","L",1990
"85",86,85,"85","Monday Jul 16","boxscore","ATL","","PHI","L",2,7,NA,"34-51",6,"20","Mulholland","Clary","","2:50","N",8211,"---","L",1990
"86",87,86,"86","Tuesday Jul 17","boxscore","ATL","","PHI","W",14,10,NA,"35-51",5,"20","Glavine","Ruffin","Mercker","3:14","N",8558,"+","W",1990
"87",88,87,"87","Wednesday Jul 18","boxscore","ATL","","PHI","L",3,4,NA,"35-52",6,"21","Cook","Smoltz","Akerfelds","2:43","N",8706,"-","L",1990
"88",89,88,"88","Thursday Jul 19","boxscore","ATL","@","NYM","L",2,6,NA,"35-53",6,"21","Cone","Leibrandt","Franco","2:42","N",39678,"--","L",1990
"89",90,89,"89","Friday Jul 20","boxscore","ATL","@","NYM","L",1,6,NA,"35-54",6,"22","Fernandez","Avery","Pena","2:49","N",36096,"---","L",1990
"90",91,90,"90","Saturday Jul 21","boxscore","ATL","@","NYM","L",2,4,NA,"35-55",6,"23","Darling","Clary","Franco","2:32","N",37779,"----","L",1990
"91",92,91,"91","Sunday Jul 22","boxscore","ATL","@","NYM","W",3,2,10,"36-55",6,"22","Mercker","Innis","","3:05","D",48050,"+","W",1990
"92",93,92,"92","Monday Jul 23","boxscore","ATL","","HOU","W",3,1,NA,"37-55",6,"22","Smoltz","Scott","","2:33","N",7888,"++","W",1990
"93",94,93,"93","Tuesday Jul 24 (1)","boxscore","ATL","","HOU","W",9,3,NA,"38-55",5,"20.5","Leibrandt","Deshaies","","2:47","D",0,"+++","W",1990
"94",95,94,"94","Tuesday Jul 24 (2)","boxscore","ATL","","HOU","W-wo",9,8,10,"39-55",5,"20.5","Mercker","Agosto","","3:39","N",12200,"++++","W",1990
"95",96,95,"95","Wednesday Jul 25","boxscore","ATL","","HOU","L",1,5,NA,"39-56",6,"20","Darwin","Avery","","2:50","N",9492,"-","L",1990
"96",97,96,"96","Thursday Jul 26","boxscore","ATL","@","LAD","L",1,8,NA,"39-57",6,"20","Belcher","Clary","","2:59","N",31461,"--","L",1990
"97",98,97,"97","Friday Jul 27","boxscore","ATL","@","LAD","L-wo",4,5,12,"39-58",6,"20","Searage","Luecken","","5:03","N",40907,"---","L",1990
"98",99,98,"98","Saturday Jul 28","boxscore","ATL","@","LAD","L-wo",7,8,NA,"39-59",6,"20","Hartley","Grant","","2:53","N",38022,"----","L",1990
"99",100,99,"99","Sunday Jul 29","boxscore","ATL","@","LAD","L",3,4,NA,"39-60",6,"20","Martinez","Leibrandt","Crews","2:39","D",34975,"-----","L",1990
"100",101,100,"100","Monday Jul 30","boxscore","ATL","@","SDP","W",4,3,11,"40-60",6,"19","Henry","Schiraldi","Castillo","3:08","N",18076,"+","W",1990
"101",103,101,"101","Tuesday Jul 31","boxscore","ATL","@","SDP","L-wo",6,7,NA,"40-61",6,"20","Lefferts","Luecken","","2:51","N",12310,"-","L",1990
"102",104,102,"102","Thursday Aug 2","boxscore","ATL","@","HOU","L",1,3,NA,"40-62",6,"20.5","Gullickson","Glavine","Andersen","2:35","N",18251,"--","L",1990
"103",105,103,"103","Friday Aug 3","boxscore","ATL","@","HOU","L",0,3,NA,"40-63",6,"20.5","Scott","Smoltz","","2:25","N",17579,"---","L",1990
"104",106,104,"104","Saturday Aug 4","boxscore","ATL","@","HOU","L",2,6,NA,"40-64",6,"20.5","Deshaies","Leibrandt","","2:31","N",18751,"----","L",1990
"105",107,105,"105","Sunday Aug 5","boxscore","ATL","@","HOU","L",2,6,NA,"40-65",6,"21.5","Darwin","Avery","","3:07","D",15118,"-----","L",1990
"106",108,106,"106","Tuesday Aug 7 (1)","boxscore","ATL","","SDP","L",2,7,NA,"40-66",6,"23","Benes","Glavine","Harris","3:01","N",0,"------","L",1990
"107",109,107,"107","Tuesday Aug 7 (2)","boxscore","ATL","","SDP","L",9,11,NA,"40-67",6,"23","Show","Clary","Lefferts","3:04","N",10991,"-------","L",1990
"108",110,108,"108","Wednesday Aug 8","boxscore","ATL","","SDP","W",7,1,NA,"41-67",6,"22","Smoltz","Rasmussen","","2:44","N",6070,"+","W",1990
"109",111,109,"109","Thursday Aug 9","boxscore","ATL","","SDP","L",0,7,NA,"41-68",6,"22","Hurst","Leibrandt","","2:41","N",8312,"-","L",1990
"110",112,110,"110","Friday Aug 10","boxscore","ATL","","LAD","W",3,2,NA,"42-68",6,"22","Avery","Morgan","Mercker","2:43","N",27627,"+","W",1990
"111",113,111,"111","Saturday Aug 11","boxscore","ATL","","LAD","L",4,6,10,"42-69",6,"22","Howell","Clary","Gott","3:05","N",30845,"-","L",1990
"112",114,112,"112","Sunday Aug 12","boxscore","ATL","","LAD","L",3,7,NA,"42-70",6,"23","Neidlinger","Glavine","Gott","2:47","D",12451,"--","L",1990
"113",115,113,"113","Monday Aug 13","boxscore","ATL","","LAD","W",9,5,NA,"43-70",6,"23","Smoltz","Valenzuela","","2:49","N",11945,"+","W",1990
"114",116,114,"114","Tuesday Aug 14 (1)","boxscore","ATL","@","PIT","L",1,3,NA,"43-71",6,"24.5","Drabek","Leibrandt","","2:32","N",0,"-","L",1990
"115",117,115,"115","Tuesday Aug 14 (2)","boxscore","ATL","@","PIT","L",4,6,NA,"43-72",6,"24.5","Smith","Avery","Patterson","2:14","N",25542,"--","L",1990
"116",118,116,"116","Wednesday Aug 15","boxscore","ATL","@","PIT","W",8,1,NA,"44-72",6,"24.5","Castillo","Heaton","","2:53","N",16063,"+","W",1990
"117",119,117,"117","Thursday Aug 16","boxscore","ATL","@","PIT","L-wo",3,4,NA,"44-73",6,"25","Kipper","Mercker","","3:00","D",19304,"-","L",1990
"118",120,118,"118","Friday Aug 17","boxscore","ATL","@","CHC","L",0,7,NA,"44-74",6,"24.5","Harkey","Smoltz","","2:02","D",29893,"--","L",1990
"119",121,119,"119","Saturday Aug 18","boxscore","ATL","@","CHC","W",17,6,NA,"45-74",6,"23.5","Leibrandt","Dickson","","3:30","D",36226,"+","W",1990
"120",122,120,"120","Sunday Aug 19","boxscore","ATL","@","CHC","L",4,5,NA,"45-75",6,"23.5","Maddux","Mercker","Assenmacher","2:25","D",33284,"-","L",1990
"121",123,121,"121","Monday Aug 20","boxscore","ATL","@","STL","L",2,7,NA,"45-76",6,"23.5","Hill","Glavine","","2:27","N",22729,"--","L",1990
"122",124,122,"122","Tuesday Aug 21","boxscore","ATL","@","STL","W",7,2,NA,"46-76",6,"23.5","Smoltz","Magrane","","2:40","N",27388,"+","W",1990
"123",125,123,"123","Wednesday Aug 22","boxscore","ATL","@","STL","W",2,1,NA,"47-76",6,"23.5","Castillo","Tewksbury","Mercker","2:45","N",29464,"++","W",1990
"124",126,124,"124","Thursday Aug 23","boxscore","ATL","","HOU","L",3,8,NA,"47-77",6,"23.5","Portugal","Leibrandt","","3:09","N",34023,"-","L",1990
"125",127,125,"125","Friday Aug 24","boxscore","ATL","","CHC","W",3,0,NA,"48-77",6,"23.5","Avery","Maddux","","2:14","N",20922,"+","W",1990
"126",128,126,"126","Saturday Aug 25","boxscore","ATL","","CHC","L",3,6,NA,"48-78",6,"24.5","Bielecki","Glavine","Assenmacher","2:52","N",29359,"-","L",1990
"127",129,127,"127","Sunday Aug 26","boxscore","ATL","","CHC","W-wo",4,3,NA,"49-78",6,"24.5","Smoltz","Williams","","2:53","D",14178,"+","W",1990
"128",130,128,"128","Tuesday Aug 28","boxscore","ATL","","PIT","W",9,0,NA,"50-78",6,"24.5","Leibrandt","Smiley","","2:50","N",5872,"++","W",1990
"129",131,129,"129","Wednesday Aug 29","boxscore","ATL","","PIT","L",0,10,7,"50-79",6,"24.5","Drabek","Avery","","2:11","N",5403,"-","L",1990
"130",132,130,"130","Thursday Aug 30","boxscore","ATL","","STL","L",3,5,12,"50-80",6,"25.5","DiPino","Henry","Niedenfuer","3:50","N",3672,"--","L",1990
"131",133,131,"131","Friday Aug 31","boxscore","ATL","","STL","W",4,1,NA,"51-80",6,"24.5","Smoltz","DeLeon","Mercker","2:46","N",6957,"+","W",1990
"132",134,132,"132","Saturday Sep 1","boxscore","ATL","","STL","W",4,3,NA,"52-80",6,"24.5","Castillo","Hill","Mercker","2:35","N",14673,"++","W",1990
"133",135,133,"133","Sunday Sep 2","boxscore","ATL","","STL","W",5,0,NA,"53-80",6,"24.5","Leibrandt","Tudor","","2:29","D",10070,"+++","W",1990
"134",136,134,"134","Monday Sep 3","boxscore","ATL","","CIN","W",8,6,NA,"54-80",6,"23.5","Grant","Layana","Parrett","2:57","D",9176,"++++","W",1990
"135",137,135,"135","Tuesday Sep 4","boxscore","ATL","","CIN","W",7,4,NA,"55-80",6,"22.5","Glavine","Jackson","Mercker","2:59","N",4463,"+++++","W",1990
"136",138,136,"136","Wednesday Sep 5","boxscore","ATL","@","LAD","W",6,2,NA,"56-80",6,"22.5","Smoltz","Morgan","","2:26","N",27148,"++++++","W",1990
"137",139,137,"137","Thursday Sep 6","boxscore","ATL","@","LAD","L",0,5,NA,"56-81",6,"22.5","Hartley","Marak","","2:40","N",36362,"-","L",1990
"138",140,138,"138","Friday Sep 7","boxscore","ATL","@","SDP","W",4,1,NA,"57-81",6,"21.5","Leibrandt","Whitson","","2:20","N",12449,"+","W",1990
"139",141,139,"139","Saturday Sep 8","boxscore","ATL","@","SDP","W",11,5,NA,"58-81",6,"21.5","Parrett","Lilliquist","","3:18","N",12802,"++","W",1990
"140",142,140,"140","Sunday Sep 9","boxscore","ATL","@","SDP","L-wo",4,5,11,"58-82",6,"21.5","Show","Mercker","","3:24","D",28593,"-","L",1990
"141",143,141,"141","Monday Sep 10","boxscore","ATL","@","SFG","L-wo",6,7,10,"58-83",6,"22","Bedrosian","Mercker","","3:12","N",6965,"--","L",1990
"142",144,142,"142","Tuesday Sep 11","boxscore","ATL","@","SFG","L",0,2,NA,"58-84",6,"23","Garrelts","Grant","Bedrosian","2:31","N",11791,"---","L",1990
"143",145,143,"143","Wednesday Sep 12","boxscore","ATL","@","SFG","L",3,8,NA,"58-85",6,"23","Burkett","Leibrandt","Oliveras","2:44","D",8427,"----","L",1990
"144",146,144,"144","Friday Sep 14","boxscore","ATL","","SDP","W",7,3,NA,"59-85",6,"22.5","Glavine","Lilliquist","Grant","2:30","N",4395,"+","W",1990
"145",147,145,"145","Saturday Sep 15","boxscore","ATL","","SDP","L",3,5,11,"59-86",6,"22.5","Lefferts","Parrett","Show","3:30","N",7390,"-","L",1990
"146",148,146,"146","Sunday Sep 16","boxscore","ATL","","SDP","L",4,9,NA,"59-87",6,"23.5","Rasmussen","Avery","","2:22","D",4058,"--","L",1990
"147",149,147,"147","Monday Sep 17","boxscore","ATL","","LAD","L",2,5,NA,"59-88",6,"24.5","Crews","Leibrandt","Howell","3:04","N",3473,"---","L",1990
"148",150,148,"148","Tuesday Sep 18","boxscore","ATL","","LAD","L",2,6,NA,"59-89",6,"24.5","Neidlinger","Marak","","2:19","N",3891,"----","L",1990
"149",151,149,"149","Wednesday Sep 19","boxscore","ATL","","SFG","W",5,1,NA,"60-89",6,"23.5","Glavine","Downs","Grant","2:44","N",3715,"+","W",1990
"150",152,150,"150","Thursday Sep 20","boxscore","ATL","","SFG","L",3,5,NA,"60-90",6,"23.5","Gunderson","Smoltz","Reuschel","3:00","N",3790,"-","L",1990
"151",154,151,"151","Friday Sep 21","boxscore","ATL","","HOU","L",3,4,10,"60-91",6,"24.5","Agosto","Mercker","","3:30","N",6081,"--","L",1990
"152",155,152,"152","Saturday Sep 22","boxscore","ATL","","HOU","W",3,1,NA,"61-91",6,"25","Leibrandt","Darwin","","2:48","N",13635,"+","W",1990
"153",156,153,"153","Sunday Sep 23","boxscore","ATL","","HOU","W",3,0,NA,"62-91",6,"25","Marak","Gullickson","","2:23","D",9060,"++","W",1990
"154",157,154,"154","Tuesday Sep 25","boxscore","ATL","@","CIN","W",10,0,NA,"63-91",6,"24","Glavine","Charlton","","2:34","N",25095,"+++","W",1990
"155",158,155,"155","Wednesday Sep 26","boxscore","ATL","@","CIN","L",2,5,NA,"63-92",6,"25","Rijo","Smoltz","","2:37","N",22278,"-","L",1990
"156",159,156,"156","Thursday Sep 27","boxscore","ATL","@","CIN","L",2,4,NA,"63-93",6,"26","Browning","Avery","Dibble","2:13","N",20757,"--","L",1990
"157",160,157,"157","Friday Sep 28","boxscore","ATL","@","HOU","L-wo",1,2,10,"63-94",6,"26","Osuna","Mercker","","3:02","N",11045,"---","L",1990
"158",161,158,"158","Saturday Sep 29","boxscore","ATL","@","HOU","L",0,9,NA,"63-95",6,"26","Gullickson","Leibrandt","","2:49","D",8129,"----","L",1990
"159",162,159,"159","Sunday Sep 30","boxscore","ATL","@","HOU","L",2,6,NA,"63-96",6,"26","Portugal","Glavine","Clancy","2:23","D",14387,"-----","L",1990
"160",163,160,"160","Monday Oct 1","boxscore","ATL","@","SFG","W",5,3,NA,"64-96",6,"26","Smoltz","Wilson","Mercker","2:28","N",7183,"+","W",1990
"161",164,161,"161","Tuesday Oct 2","boxscore","ATL","@","SFG","W",16,7,NA,"65-96",6,"26","Freeman","Dewey","Grant","3:18","N",9362,"++","W",1990
"162",165,162,"162","Wednesday Oct 3","boxscore","ATL","@","SFG","L",3,6,NA,"65-97",6,"26","Bedrosian","Avery","Oliveras","2:37","D",8559,"-","L",1990
"163",1,1,"1","Wednesday Apr 10","boxscore","ATL","","LAD","L",4,6,NA,"0-1",4,"1.5","Belcher","Smoltz","Candelaria","2:47","N",18527,"-","L",1991
