"","X.2","Rk","Gm.","Date","X","Tm","X.1","Opp","W.L","R","RA","Inn","W.L.1","Rank","GB","Win","Loss","Save","Time","D.N","Attendance","Streak","WinorLoss","Year","StreakNo","Count"
"1499",42,42,"42","Tuesday May 28","boxscore","ATL","","STL","L",3,9,NA,"17-25",5,"8.0","Forsch","Smith","Lahti","2:42","N",9856,"-","L",1985,24,1
"1500",43,43,"43","Wednesday May 29","boxscore","ATL","","STL","W",5,3,NA,"18-25",5,"7.0","Bedrosian","Tudor","Sutter","2:22","N",8557,"+","W",1985,25,1
"1501",44,44,"44","Thursday May 30","boxscore","ATL","","STL","L",0,6,NA,"18-26",5,"8.0","Andujar","Mahler","Campbell","2:25","N",13503,"-","L",1985,26,1
"1502",45,45,"45","Friday May 31","boxscore","ATL","@","PIT","W",8,2,NA,"19-26",5,"8.0","Camp","Rhoden","","2:27","N",7822,"+","W",1985,27,1
"1503",46,46,"46","Saturday Jun 1","boxscore","ATL","@","PIT","L",3,6,NA,"19-27",5,"8.0","Reuschel","Garber","Scurry","2:29","N",14579,"-","L",1985,28,1
"1504",47,47,"47","Sunday Jun 2","boxscore","ATL","@","PIT","L",0,5,NA,"19-28",5,"8.0","DeLeon","Bedrosian","Holland","2:40","D",15034,"--","L",1985,28,1
"1505",48,48,"48","Tuesday Jun 4","boxscore","ATL","@","CHC","L",3,5,NA,"19-29",6,"8.5","Ruthven","Mahler","Smith","2:19","D",23502,"---","L",1985,28,1
"1506",49,49,"49","Wednesday Jun 5","boxscore","ATL","@","CHC","W",4,2,11,"20-29",5,"8.5","Dedmon","Smith","","3:09","D",25557,"+","W",1985,29,1
"1507",50,50,"50","Friday Jun 7","boxscore","ATL","","LAD","L",2,7,NA,"20-30",5,"10.0","Niedenfuer","Bedrosian","","2:43","N",24612,"-","L",1985,30,1
"1508",52,51,"51","Saturday Jun 8","boxscore","ATL","","LAD","W",7,3,NA,"21-30",5,"9.0","Mahler","Hershiser","","2:37","D",36477,"+","W",1985,31,1
"1509",53,52,"52","Sunday Jun 9","boxscore","ATL","","LAD","W",10,3,NA,"22-30",5,"9.0","Shields","Valenzuela","Forster","2:55","D",29340,"++","W",1985,31,1
"1510",54,53,"53","Monday Jun 10","boxscore","ATL","","SFG","W",7,0,NA,"23-30",5,"9.0","Smith","Gott","","2:24","N",9193,"+++","W",1985,31,1
"1511",55,54,"54","Tuesday Jun 11","boxscore","ATL","","SFG","L",4,5,18,"23-31",5,"9.0","Williams","Garber","","4:44","N",9046,"-","L",1985,32,1
"1512",56,55,"55","Wednesday Jun 12","boxscore","ATL","","SFG","W",5,2,NA,"24-31",5,"8.0","Mahler","Hammaker","","2:22","N",10981,"+","W",1985,33,1
"1513",57,56,"56","Thursday Jun 13","boxscore","ATL","","CIN","L",2,9,11,"24-32",5,"9.0","Franco","Garber","","3:06","N",15814,"-","L",1985,34,1
"1514",58,57,"57","Friday Jun 14","boxscore","ATL","","CIN","W",6,4,NA,"25-32",5,"8.0","Sutter","Soto","","2:40","N",26322,"+","W",1985,35,1
"1515",59,58,"58","Saturday Jun 15","boxscore","ATL","","CIN","W",7,0,NA,"26-32",5,"8.0","Bedrosian","Price","","2:26","N",29635,"++","W",1985,35,1
"1516",60,59,"59","Sunday Jun 16","boxscore","ATL","","CIN","L",5,6,10,"26-33",5,"7.5","Power","Sutter","Franco","3:05","D",24863,"-","L",1985,36,1
"1517",61,60,"60","Monday Jun 17","boxscore","ATL","","HOU","L",3,4,NA,"26-34",5,"8.5","Ryan","Shields","Smith","2:27","N",11346,"--","L",1985,36,1
"1518",62,61,"61","Tuesday Jun 18","boxscore","ATL","","HOU","W",3,2,NA,"27-34",5,"8.5","Sutter","Solano","","2:11","N",10551,"+","W",1985,37,1
"1519",63,62,"62","Wednesday Jun 19","boxscore","ATL","","HOU","L",3,7,NA,"27-35",5,"8.5","Niekro","Bedrosian","","2:54","N",10420,"-","L",1985,38,1
"1520",64,63,"63","Thursday Jun 20","boxscore","ATL","","HOU","L",0,2,NA,"27-36",5,"9.5","Knepper","Mahler","Smith","2:29","N",13799,"--","L",1985,38,1
"1521",65,64,"64","Friday Jun 21 (1)","boxscore","ATL","@","CIN","L",2,4,NA,"27-37",5,"10.0","Browning","Shields","Power","2:36","D",0,"---","L",1985,38,1
"1522",66,65,"65","Friday Jun 21 (2)","boxscore","ATL","@","CIN","W",5,4,NA,"28-37",5,"10.0","Camp","Tibbs","Sutter","2:35","N",33248,"+","W",1985,39,1
"1523",67,66,"66","Saturday Jun 22","boxscore","ATL","@","CIN","L-wo",3,4,NA,"28-38",5,"11.0","Robinson","Forster","","2:31","D",20428,"-","L",1985,40,1
"1524",68,67,"67","Sunday Jun 23","boxscore","ATL","@","CIN","W",2,1,NA,"29-38",5,"11.0","Bedrosian","Pastore","Sutter","2:27","D",24538,"+","W",1985,41,1
"1525",69,68,"68","Tuesday Jun 25","boxscore","ATL","@","HOU","W",6,4,NA,"30-38",5,"10.0","Mahler","Knepper","Sutter","2:28","N",13440,"++","W",1985,41,1
"1526",70,69,"69","Wednesday Jun 26","boxscore","ATL","@","HOU","W",3,1,11,"31-38",5,"10.0","Dedmon","Smith","Sutter","2:47","N",12243,"+++","W",1985,41,1
"1527",71,70,"70","Thursday Jun 27","boxscore","ATL","@","HOU","W",4,1,NA,"32-38",5,"10.0","Smith","Ryan","Sutter","2:36","N",15828,"++++","W",1985,41,1
"1528",72,71,"71","Friday Jun 28","boxscore","ATL","@","LAD","W",11,2,NA,"33-38",5,"9.0","Bedrosian","Honeycutt","","2:52","N",40546,"+++++","W",1985,41,1
"1529",73,72,"72","Saturday Jun 29","boxscore","ATL","@","LAD","L",2,3,NA,"33-39",5,"10.0","Reuss","Mahler","Niedenfuer","2:09","D",39141,"-","L",1985,42,1
"1530",74,73,"73","Sunday Jun 30","boxscore","ATL","@","LAD","L",3,4,NA,"33-40",5,"10.0","Howell","Sutter","","2:22","D",36804,"--","L",1985,42,1
"1531",75,74,"74","Monday Jul 1","boxscore","ATL","@","SFG","W",4,1,NA,"34-40",5,"10.0","Smith","Krukow","Sutter","2:24","D",4369,"+","W",1985,43,1
"1532",76,75,"75","Tuesday Jul 2","boxscore","ATL","@","SFG","L",3,8,NA,"34-41",5,"10.0","Gott","Bedrosian","Garrelts","2:36","D",5660,"-","L",1985,44,1
"1533",77,76,"76","Thursday Jul 4","boxscore","ATL","","NYM","L",13,16,19,"34-42",5,"11.0","Gorman","Camp","","6:10","N",44947,"--","L",1985,44,1
"1534",78,77,"77","Friday Jul 5","boxscore","ATL","","NYM","L",1,6,NA,"34-43",5,"11.0","Aguilera","Perez","","2:40","N",28085,"---","L",1985,44,1
"1535",79,78,"78","Sunday Jul 7 (1)","boxscore","ATL","","NYM","L",0,4,NA,"34-44",5,"12.0","Fernandez","Smith","McDowell","2:37","D",0,"----","L",1985,44,1
"1536",80,79,"79","Sunday Jul 7 (2)","boxscore","ATL","","NYM","L",5,8,NA,"34-45",5,"12.0","Darling","Dedmon","Orosco","3:29","D",26757,"-----","L",1985,44,1
"1537",81,80,"80","Monday Jul 8","boxscore","ATL","","MON","W",7,1,NA,"35-45",5,"12.0","Mahler","Gullickson","","2:23","N",9217,"+","W",1985,45,1
"1538",82,81,"81","Tuesday Jul 9","boxscore","ATL","","MON","L",1,5,NA,"35-46",5,"12.0","Smith","Perez","Burke","2:44","N",9927,"-","L",1985,46,1
"1539",83,82,"82","Wednesday Jul 10","boxscore","ATL","","MON","L",5,6,11,"35-47",5,"12.0","Burke","Sutter","","3:16","N",9936,"--","L",1985,46,1
"1540",84,83,"83","Thursday Jul 11","boxscore","ATL","","PHI","W-wo",3,2,NA,"36-47",5,"11.0","Sutter","Andersen","","2:24","N",10316,"+","W",1985,47,1
"1541",85,84,"84","Friday Jul 12","boxscore","ATL","","PHI","W-wo",7,4,NA,"37-47",5,"11.0","Forster","Carman","","2:25","N",23345,"++","W",1985,47,1
"1542",86,85,"85","Saturday Jul 13","boxscore","ATL","","PHI","W",13,5,NA,"38-47",5,"10.5","Mahler","Hudson","","2:14","N",31257,"+++","W",1985,47,1
"1543",87,86,"86","Sunday Jul 14","boxscore","ATL","","PHI","W",12,3,NA,"39-47",5,"9.5","Perez","Gross","Camp","2:42","D",17313,"++++","W",1985,47,1
"1544",88,87,"87","Thursday Jul 18","boxscore","ATL","@","NYM","L",6,7,NA,"39-48",5,"10.5","Darling","Mahler","Orosco","3:02","N",30496,"-","L",1985,48,1
"1545",89,88,"88","Friday Jul 19","boxscore","ATL","@","NYM","W",1,0,NA,"40-48",5,"10.5","Smith","Aguilera","Sutter","2:13","N",36572,"+","W",1985,49,1
"1546",90,89,"89","Saturday Jul 20","boxscore","ATL","@","NYM","L",4,16,NA,"40-49",5,"11.5","Gooden","Bedrosian","","2:45","D",35650,"-","L",1985,50,1
"1547",91,90,"90","Sunday Jul 21","boxscore","ATL","@","NYM","L",10,15,NA,"40-50",5,"11.5","Leach","Perez","","2:51","D",50876,"--","L",1985,50,1
"1548",92,91,"91","Monday Jul 22","boxscore","ATL","@","MON","W",7,1,NA,"41-50",5,"10.5","Mahler","Palmer","","2:28","N",20755,"+","W",1985,51,1
"1549",93,92,"92","Tuesday Jul 23","boxscore","ATL","@","MON","L",2,4,NA,"41-51",5,"11.5","Hesketh","Smith","Reardon","2:46","N",27728,"-","L",1985,52,1
"1550",94,93,"93","Wednesday Jul 24","boxscore","ATL","@","MON","L",1,3,NA,"41-52",5,"12.5","Smith","Bedrosian","","2:04","N",16706,"--","L",1985,52,1
"1551",95,94,"94","Thursday Jul 25","boxscore","ATL","@","PHI","W",3,2,NA,"42-52",5,"12.5","Sutter","Tekulve","","2:04","N",18318,"+","W",1985,53,1
"1552",96,95,"95","Friday Jul 26","boxscore","ATL","@","PHI","W",6,4,NA,"43-52",5,"12.5","Mahler","Denny","Sutter","2:31","N",22212,"++","W",1985,53,1
"1553",97,96,"96","Saturday Jul 27","boxscore","ATL","@","PHI","L",4,5,NA,"43-53",4,"13.5","Hudson","Smith","","2:22","D",23027,"-","L",1985,54,1
"1554",98,97,"97","Sunday Jul 28","boxscore","ATL","@","PHI","L",3,7,NA,"43-54",5,"13.5","Koosman","Bedrosian","","2:13","D",30160,"--","L",1985,54,1
"1555",99,98,"98","Tuesday Jul 30","boxscore","ATL","","SDP","L",4,5,12,"43-55",5,"15.0","Lefferts","Camp","Jackson","3:28","N",19763,"---","L",1985,54,1
"1556",100,99,"99","Wednesday Jul 31","boxscore","ATL","","SDP","W-wo",5,4,10,"44-55",5,"14.0","Sutter","Stoddard","","2:44","N",14873,"+","W",1985,55,1
"1557",101,100,"100","Thursday Aug 1","boxscore","ATL","","SDP","L",0,6,NA,"44-56",5,"14.5","Hawkins","Smith","","2:13","N",13243,"-","L",1985,56,1
"1558",103,101,"101","Friday Aug 2","boxscore","ATL","","SFG","W",12,7,NA,"45-56",5,"14.0","Garber","Williams","","3:01","N",25188,"+","W",1985,57,1
"1559",104,102,"102","Saturday Aug 3","boxscore","ATL","","SFG","L",5,7,NA,"45-57",5,"15.0","Krukow","Mahler","Garrelts","2:30","N",29709,"-","L",1985,58,1
"1560",105,103,"103","Sunday Aug 4","boxscore","ATL","","SFG","W-wo",5,4,10,"46-57",5,"14.0","Garber","Jeffcoat","","2:58","D",20025,"+","W",1985,59,1
"1561",106,104,"104","Monday Aug 5","boxscore","ATL","","LAD","L",1,6,NA,"46-58",5,"15.0","Reuss","Barker","","2:30","N",24536,"-","L",1985,60,1
"1562",107,105,"105","Thursday Aug 8","boxscore","ATL","@","SFG","W",2,0,NA,"47-58",5,"14.0","Mahler","Minton","","2:25","D",3557,"+","W",1985,61,1
"1563",108,106,"106","Friday Aug 9","boxscore","ATL","@","SFG","W",6,5,NA,"48-58",5,"14.0","Dedmon","LaPoint","Sutter","2:29","N",5782,"++","W",1985,61,1
"1564",109,107,"107","Saturday Aug 10","boxscore","ATL","@","SFG","L-wo",5,6,NA,"48-59",5,"15.0","Garrelts","Dedmon","","2:25","D",6676,"-","L",1985,62,1
"1565",110,108,"108","Sunday Aug 11","boxscore","ATL","@","SFG","W",7,4,NA,"49-59",5,"15.0","Johnson","Williams","Sutter","2:52","D",10205,"+","W",1985,63,1
"1566",111,109,"109","Monday Aug 12","boxscore","ATL","@","LAD","L",0,3,NA,"49-60",5,"16.0","Honeycutt","Mahler","Niedenfuer","2:19","N",36741,"-","L",1985,64,1
"1567",112,110,"110","Tuesday Aug 13","boxscore","ATL","@","LAD","L",1,2,NA,"49-61",5,"17.0","Diaz","Forster","Niedenfuer","2:38","N",38924,"--","L",1985,64,1
"1568",113,111,"111","Wednesday Aug 14","boxscore","ATL","@","LAD","L",0,5,NA,"49-62",5,"18.0","Welch","McMurtry","","2:11","N",39627,"---","L",1985,64,1
"1569",114,112,"112","Thursday Aug 15","boxscore","ATL","@","LAD","L",4,5,NA,"49-63",5,"19.0","Valenzuela","Sutter","Niedenfuer","2:32","D",42169,"----","L",1985,64,1
"1570",115,113,"113","Friday Aug 16","boxscore","ATL","@","SDP","L",3,6,NA,"49-64",5,"20.0","Hawkins","Mahler","McCullers","2:25","N",22154,"-----","L",1985,64,1
"1571",116,114,"114","Sunday Aug 18 (1)","boxscore","ATL","@","SDP","L",1,2,NA,"49-65",5,"19.0","Jackson","Bedrosian","McCullers","2:22","D",0,"------","L",1985,64,1
"1572",117,115,"115","Sunday Aug 18 (2)","boxscore","ATL","@","SDP","W",6,3,NA,"50-65",5,"19.0","Forster","Hoyt","Sutter","2:24","D",32531,"+","W",1985,65,1
"1573",118,116,"116","Tuesday Aug 20","boxscore","ATL","","CHC","L",2,5,NA,"50-66",5,"20.0","Fontenot","Sutter","Smith","2:19","N",13006,"-","L",1985,66,1
"1574",119,117,"117","Wednesday Aug 21","boxscore","ATL","","CHC","L",5,9,NA,"50-67",5,"21.0","Brusstar","Garber","Smith","3:08","N",12245,"--","L",1985,66,1
"1575",120,118,"118","Thursday Aug 22","boxscore","ATL","","CHC","L",2,3,NA,"50-68",5,"21.0","Meridith","Camp","Smith","3:00","N",11273,"---","L",1985,66,1
"1576",121,119,"119","Friday Aug 23","boxscore","ATL","","STL","L",2,6,NA,"50-69",5,"22.0","Andujar","McMurtry","Lahti","2:51","N",19958,"----","L",1985,66,1
"1577",122,120,"120","Saturday Aug 24","boxscore","ATL","","STL","L",0,7,6,"50-70",5,"22.0","Forsch","Barker","","1:40","N",31109,"-----","L",1985,66,1
"1578",123,121,"121","Sunday Aug 25","boxscore","ATL","","STL","L",2,5,NA,"50-71",5,"22.0","Kepshire","Mahler","Campbell","2:39","D",14711,"------","L",1985,66,1
"1579",124,122,"122","Monday Aug 26","boxscore","ATL","","PIT","W-wo",2,1,NA,"51-71",5,"22.0","Garber","Robinson","","2:07","N",4125,"+","W",1985,67,1
"1580",125,123,"123","Tuesday Aug 27","boxscore","ATL","","PIT","W-wo",7,6,NA,"52-71",5,"22.0","Garber","Robinson","","2:44","N",4580,"++","W",1985,67,1
"1581",126,124,"124","Wednesday Aug 28","boxscore","ATL","","PIT","W",6,1,NA,"53-71",5,"21.5","Barker","Tunnell","McMurtry","2:55","N",5187,"+++","W",1985,67,1
"1582",127,125,"125","Thursday Aug 29","boxscore","ATL","@","CHC","W",9,6,NA,"54-71",5,"20.5","Mahler","Sorensen","Camp","3:13","D",16965,"++++","W",1985,67,1
"1583",128,126,"126","Friday Aug 30","boxscore","ATL","@","CHC","W",8,1,NA,"55-71",5,"19.5","Johnson","Fontenot","","2:37","D",15920,"+++++","W",1985,67,1
"1584",129,127,"127","Saturday Aug 31","boxscore","ATL","@","CHC","L-wo",4,5,11,"55-72",5,"19.5","Brusstar","Garber","","3:15","D",31876,"-","L",1985,68,1
"1585",130,128,"128","Sunday Sep 1","boxscore","ATL","@","CHC","L",2,15,NA,"55-73",5,"19.5","Botelho","Barker","","3:01","D",31427,"--","L",1985,68,1
"1586",131,129,"129","Monday Sep 2","boxscore","ATL","@","PIT","L",4,5,NA,"55-74",5,"20.5","Tunnell","Mahler","Guante","2:24","D",5378,"---","L",1985,68,1
"1587",132,130,"130","Tuesday Sep 3","boxscore","ATL","@","PIT","W",2,0,NA,"56-74",5,"20.5","Johnson","DeLeon","Sutter","2:08","N",3019,"+","W",1985,69,1
"1588",133,131,"131","Wednesday Sep 4","boxscore","ATL","@","PIT","L",0,2,NA,"56-75",5,"21.5","Reuschel","Perez","","2:15","N",4613,"-","L",1985,70,1
"1589",134,132,"132","Friday Sep 6","boxscore","ATL","@","STL","L",0,8,NA,"56-76",5,"21.5","Tudor","Mahler","","2:41","N",25821,"--","L",1985,70,1
"1590",135,133,"133","Saturday Sep 7","boxscore","ATL","@","STL","W",3,1,NA,"57-76",5,"21.5","Bedrosian","Andujar","Sutter","2:30","N",38091,"+","W",1985,71,1
"1591",136,134,"134","Sunday Sep 8","boxscore","ATL","@","STL","W",7,3,NA,"58-76",5,"20.5","Johnson","Forsch","","2:48","D",24930,"++","W",1985,71,1
"1592",137,135,"135","Monday Sep 9","boxscore","ATL","","LAD","L",7,9,NA,"58-77",5,"21.5","Holton","Sutter","Powell","3:46","N",3137,"-","L",1985,72,1
"1593",138,136,"136","Tuesday Sep 10 (1)","boxscore","ATL","","LAD","L",1,10,NA,"58-78",5,"23.5","Honeycutt","Perez","","2:39","N",0,"--","L",1985,72,1
"1594",139,137,"137","Tuesday Sep 10 (2)","boxscore","ATL","","LAD","L",4,10,NA,"58-79",5,"23.5","Powell","Smith","","3:00","N",10300,"---","L",1985,72,1
"1595",140,138,"138","Wednesday Sep 11","boxscore","ATL","","LAD","L",3,12,NA,"58-80",5,"24.5","Valenzuela","Bedrosian","","2:46","N",6205,"----","L",1985,72,1
"1596",141,139,"139","Thursday Sep 12","boxscore","ATL","","LAD","W",11,6,NA,"59-80",5,"23.5","Smith","Castillo","","2:42","N",5064,"+","W",1985,73,1
"1597",142,140,"140","Friday Sep 13","boxscore","ATL","","SFG","L",3,9,NA,"59-81",5,"24.0","Blue","Barker","","2:48","N",5461,"-","L",1985,74,1
"1598",143,141,"141","Saturday Sep 14","boxscore","ATL","","SFG","L",1,3,NA,"59-82",5,"25.0","Minton","Garber","","2:14","D",7552,"--","L",1985,74,1
"1599",144,142,"142","Sunday Sep 15","boxscore","ATL","","SFG","W",4,1,NA,"60-82",5,"24.0","Bedrosian","Mason","Sutter","2:22","D",6101,"+","W",1985,75,1
"1600",145,143,"143","Monday Sep 16","boxscore","ATL","","HOU","L",2,7,NA,"60-83",5,"24.0","Heathcock","Johnson","","2:11","N",2400,"-","L",1985,76,1
"1601",146,144,"144","Tuesday Sep 17","boxscore","ATL","","HOU","L",6,10,NA,"60-84",5,"25.0","DiPino","Smith","","2:53","N",2484,"--","L",1985,76,1
"1602",147,145,"145","Wednesday Sep 18","boxscore","ATL","","CIN","L",3,7,NA,"60-85",5,"25.0","Robinson","Barker","","2:18","N",6581,"---","L",1985,76,1
"1603",148,146,"146","Thursday Sep 19","boxscore","ATL","","CIN","L",5,15,NA,"60-86",5,"25.0","Browning","Perez","","2:42","D",5160,"----","L",1985,76,1
"1604",149,147,"147","Friday Sep 20","boxscore","ATL","@","SDP","L",1,11,NA,"60-87",5,"25.0","Hoyt","Bedrosian","Walter","2:37","N",12758,"-----","L",1985,76,1
"1605",150,148,"148","Saturday Sep 21","boxscore","ATL","@","SDP","L",0,1,NA,"60-88",5,"26.0","Show","Johnson","","2:03","N",24265,"------","L",1985,76,1
"1606",151,149,"149","Sunday Sep 22","boxscore","ATL","@","SDP","W",7,5,NA,"61-88",5,"26.0","Smith","Hawkins","","2:32","D",12212,"+","W",1985,77,1
"1607",152,150,"150","Tuesday Sep 24","boxscore","ATL","@","CIN","L",5,7,NA,"61-89",5,"27.5","Browning","Perez","Power","2:37","N",14947,"-","L",1985,78,1
"1608",154,151,"151","Wednesday Sep 25","boxscore","ATL","@","CIN","W",4,2,11,"62-89",5,"26.5","Garber","Power","Camp","3:08","N",14981,"+","W",1985,79,1
"1609",155,152,"152","Thursday Sep 26","boxscore","ATL","@","CIN","L",1,6,NA,"62-90",5,"27.0","McGaffigan","Bedrosian","Power","2:36","D",10454,"-","L",1985,80,1
"1610",156,153,"153","Friday Sep 27","boxscore","ATL","","SDP","L",1,10,NA,"62-91",5,"28.0","Show","Johnson","","2:25","N",6785,"--","L",1985,80,1
"1611",157,154,"154","Saturday Sep 28","boxscore","ATL","","SDP","L",5,6,13,"62-92",5,"29.0","Wojna","Dedmon","DeLeon","3:47","N",18021,"---","L",1985,80,1
"1612",158,155,"155","Sunday Sep 29","boxscore","ATL","","SDP","W-wo",3,2,NA,"63-92",5,"29.0","Camp","McCullers","","2:47","D",8292,"+","W",1985,81,1
"1613",159,156,"156","Monday Sep 30","boxscore","ATL","@","HOU","W",6,3,11,"64-92",5,"28.0","Camp","DiPino","","3:20","N",9973,"++","W",1985,81,1
"1614",160,157,"157","Tuesday Oct 1","boxscore","ATL","@","HOU","L",0,2,NA,"64-93",5,"29.0","Kerfeld","Bedrosian","Smith","1:53","D",2600,"-","L",1985,82,1
"1615",161,158,"158","Wednesday Oct 2","boxscore","ATL","@","LAD","L",3,9,NA,"64-94",5,"30.0","Hershiser","Johnson","","2:45","N",32042,"--","L",1985,82,1
"1616",162,159,"159","Thursday Oct 3","boxscore","ATL","@","LAD","W",5,0,NA,"65-94",5,"29.0","Smith","Holton","","2:32","N",23486,"+","W",1985,83,1
"1617",163,160,"160","Friday Oct 4","boxscore","ATL","@","SFG","L-wo",0,1,NA,"65-95",5,"29.0","Mason","Mahler","","2:09","N",4051,"-","L",1985,84,1
"1618",164,161,"161","Saturday Oct 5","boxscore","ATL","@","SFG","L",1,7,NA,"65-96",5,"30.0","Blue","Perez","","2:19","D",3817,"--","L",1985,84,1
"1619",165,162,"162","Sunday Oct 6","boxscore","ATL","@","SFG","W",8,7,NA,"66-96",5,"29.0","Dedmon","Garrelts","Garber","2:53","D",14537,"+","W",1985,85,1
"1620",1,1,"1","Tuesday Apr 8","boxscore","ATL","","MON","W",6,0,NA,"1-0",1,"Tied","Mahler","Smith","","2:30","N",37858,"+","W",1986,1,1
"1621",2,2,"2","Thursday Apr 10","boxscore","ATL","","MON","L",3,6,NA,"1-1",2,"0.5","Tibbs","Garber","Burke","2:42","N",11401,"-","L",1986,2,1
"1622",3,3,"3","Friday Apr 11","boxscore","ATL","@","HOU","L",1,2,NA,"1-2",4,"1.5","Kerfeld","Palmer","Smith","2:14","N",9357,"--","L",1986,2,1
"1623",4,4,"4","Saturday Apr 12","boxscore","ATL","@","HOU","L",3,4,NA,"1-3",5,"2.5","Ryan","Mahler","Smith","2:30","N",19803,"---","L",1986,2,1
"1624",5,5,"5","Sunday Apr 13","boxscore","ATL","@","HOU","W",8,7,NA,"2-3",4,"1.5","Johnson","Scott","Garber","2:56","D",8739,"+","W",1986,3,1
"1625",6,6,"6","Tuesday Apr 15","boxscore","ATL","","CIN","L",3,5,NA,"2-4",5,"2.5","Robinson","Dedmon","Franco","2:43","N",12981,"-","L",1986,4,1
"1626",7,7,"7","Wednesday Apr 16","boxscore","ATL","","CIN","L",3,5,NA,"2-5",5,"3.5","Denny","Mahler","Franco","2:33","N",7927,"--","L",1986,4,1
"1627",8,8,"8","Friday Apr 18","boxscore","ATL","","LAD","W",6,3,NA,"3-5",5,"2.5","Palmer","Valenzuela","Sutter","2:36","N",28181,"+","W",1986,5,1
"1628",9,9,"9","Saturday Apr 19","boxscore","ATL","","LAD","W",3,0,NA,"4-5",4,"2.5","Smith","Hershiser","","2:24","D",29794,"++","W",1986,5,1
"1629",10,10,"10","Sunday Apr 20","boxscore","ATL","","LAD","L",3,7,NA,"4-6",4,"3.5","Welch","Mahler","","2:55","D",26570,"-","L",1986,6,1
"1630",11,11,"11","Monday Apr 21","boxscore","ATL","","HOU","W",8,2,NA,"5-6",4,"3.0","Johnson","Ryan","","2:36","N",5361,"+","W",1986,7,1
"1631",12,12,"12","Tuesday Apr 22","boxscore","ATL","","HOU","L",2,3,NA,"5-7",4,"4.0","Kerfeld","Ward","","2:18","N",6316,"-","L",1986,8,1
"1632",13,13,"13","Wednesday Apr 23","boxscore","ATL","","HOU","L",2,3,NA,"5-8",4,"4.5","Solano","Smith","Smith","2:27","D",7666,"--","L",1986,8,1
"1633",14,14,"14","Thursday Apr 24","boxscore","ATL","@","LAD","L",3,6,NA,"5-9",5,"4.5","Hershiser","Mahler","Niedenfuer","3:04","N",31161,"---","L",1986,8,1
"1634",15,15,"15","Friday Apr 25","boxscore","ATL","@","LAD","W",4,1,NA,"6-9",4,"4.5","Johnson","Welch","","2:40","N",36700,"+","W",1986,9,1
"1635",16,16,"16","Saturday Apr 26","boxscore","ATL","@","LAD","W",5,4,10,"7-9",4,"4.5","Sutter","Vande Berg","Dedmon","3:28","N",40076,"++","W",1986,9,1
"1636",17,17,"17","Sunday Apr 27","boxscore","ATL","@","LAD","L",4,7,NA,"7-10",4,"5.5","Reuss","Smith","Niedenfuer","2:31","D",46221,"-","L",1986,10,1
"1637",18,18,"18","Tuesday Apr 29","boxscore","ATL","","NYM","L",5,10,NA,"7-11",4,"5.5","Berenyi","McMurtry","McDowell","3:10","N",12258,"--","L",1986,10,1
"1638",19,19,"19","Wednesday Apr 30","boxscore","ATL","","NYM","L",1,8,NA,"7-12",5,"6.5","Gooden","Johnson","","2:25","N",23361,"---","L",1986,10,1
"1639",20,20,"20","Thursday May 1","boxscore","ATL","","NYM","W",7,2,NA,"8-12",5,"6.0","Smith","Aguilera","","2:30","D",8343,"+","W",1986,11,1
"1640",21,21,"21","Friday May 2","boxscore","ATL","@","PHI","W",7,1,NA,"9-12",5,"6.0","Palmer","Carlton","","2:43","N",20237,"++","W",1986,11,1
"1641",22,22,"22","Saturday May 3","boxscore","ATL","@","PHI","W",10,4,NA,"10-12",5,"5.0","Mahler","Rawley","","2:57","D",20511,"+++","W",1986,11,1
"1642",23,23,"23","Sunday May 4","boxscore","ATL","@","PHI","L",1,5,NA,"10-13",5,"5.0","Gross","Johnson","","1:53","D",37352,"-","L",1986,12,1
"1643",24,24,"24","Monday May 5","boxscore","ATL","@","CIN","W",4,3,11,"11-13",5,"4.5","Assenmacher","Power","Garber","2:55","N",11808,"+","W",1986,13,1
"1644",25,25,"25","Tuesday May 6","boxscore","ATL","@","CIN","L",0,2,NA,"11-14",5,"4.5","Gullickson","Palmer","Franco","2:28","N",11563,"-","L",1986,14,1
"1645",26,26,"26","Thursday May 8","boxscore","ATL","@","CIN","W",10,5,NA,"12-14",4,"3.5","McMurtry","Denny","Assenmacher","2:49","D",16621,"+","W",1986,15,1
"1646",27,27,"27","Friday May 9","boxscore","ATL","","PHI","L",6,7,NA,"12-15",4,"4.5","Gross","Johnson","Bedrosian","2:51","N",11817,"-","L",1986,16,1
"1647",28,28,"28","Saturday May 10","boxscore","ATL","","PHI","W",3,1,NA,"13-15",4,"4.5","Smith","Hudson","Assenmacher","2:35","N",25958,"+","W",1986,17,1
"1648",29,29,"29","Sunday May 11","boxscore","ATL","","PHI","L",1,2,NA,"13-16",4,"4.5","Bedrosian","McMurtry","","2:39","D",15689,"-","L",1986,18,1
"1649",30,30,"30","Monday May 12","boxscore","ATL","@","NYM","L-wo",0,1,NA,"13-17",4,"4.5","McDowell","Assenmacher","","2:59","N",25906,"--","L",1986,18,1
"1650",31,31,"31","Tuesday May 13","boxscore","ATL","@","NYM","W",6,3,NA,"14-17",4,"4.5","Johnson","Aguilera","Sutter","2:59","N",29052,"+","W",1986,19,1
"1651",32,32,"32","Wednesday May 14","boxscore","ATL","@","MON","L",2,3,NA,"14-18",5,"5.5","Smith","Smith","Reardon","2:24","N",11206,"-","L",1986,20,1
